1398562018,1398562020: Outcome of version (not specified) (agent-0): Promises observed to be kept 49%, Promises repaired 51%, Promises not repaired 0%
1398562223,1398562224: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 68%, Promises repaired 32%, Promises not repaired 0%
1398562224,1398562225: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562288,1398562289: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562545,1398562545: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 99%, Promises repaired 1%, Promises not repaired 0%
1398562545,1398562547: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562585,1398562586: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562588,1398562589: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562603,1398562604: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562607,1398562608: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562647,1398562647: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562706,1398562707: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562834,1398562835: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562849,1398562850: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562855,1398562856: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562860,1398562860: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 33%, Promises repaired 67%, Promises not repaired 0%
1398562869,1398562869: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 99%, Promises repaired 1%, Promises not repaired 0%
1398562869,1398562869: Outcome of version (not specified) (agent-0): Promises observed to be kept 97%, Promises repaired 3%, Promises not repaired 0%
1398563131,1398563131: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398563131,1398563132: Outcome of version (not specified) (agent-0): Promises observed to be kept 99%, Promises repaired 1%, Promises not repaired 0%
1398563453,1398563453: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 99%, Promises repaired 1%, Promises not repaired 0%
1398563453,1398563454: Outcome of version (not specified) (agent-0): Promises observed to be kept 99%, Promises repaired 1%, Promises not repaired 0%
1398563698,1398563700: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 20%, Promises repaired 80%, Promises not repaired 0%
1398563776,1398563777: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398563777,1398563777: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 40%, Promises repaired 60%, Promises not repaired 0%
1398564038,1398564039: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398564039,1398564040: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398564360,1398564361: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398564361,1398564362: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398564622,1398564623: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398564623,1398564624: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398564945,1398564945: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398564945,1398564946: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398565267,1398565267: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398565267,1398565268: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398565529,1398565529: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398565529,1398565530: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398565851,1398565851: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398565851,1398565852: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398566174,1398566174: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398566174,1398566175: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398566436,1398566436: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398566436,1398566437: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398566758,1398566758: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398566758,1398566759: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567080,1398567080: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567080,1398567081: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567342,1398567342: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567342,1398567343: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567664,1398567664: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567664,1398567665: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398567926,1398567926: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398567926,1398567927: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398568248,1398568248: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398568248,1398568249: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398568570,1398568570: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398568570,1398568571: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398568832,1398568832: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398568832,1398568833: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398569154,1398569154: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
1398569154,1398569156: Outcome of version Community Promises.cf 3.5.3 (agent-0): Promises observed to be kept 60%, Promises repaired 40%, Promises not repaired 0%
1398569476,1398569477: Outcome of version Community Update.cf 3.5.3 (agent-0): Promises observed to be kept 100%, Promises repaired 0%, Promises not repaired 0%
